"ID","ShortName","NAME","IDGRUPO","POS","RANK","CLASS"
5637,"ICALT","IEEE International Conference on Advanced Learning Technologies ",9,29,0.93939,"A"
5350,"SODA","ACM-SIAM Symposium on Discrete Algorithms",1,30,0.93694,"A"
6006,"SPAA","ACM Symposium on Parallel Algorithms and Architectures",26,31,0.93333,"A"
6152,"ACM-MM","ACM Multimedia Conference",18,32,0.93333,"A"
5797,"OOPSLA","Annual ACM Conference on Object-Oriented Programming, Systems, Languages and Applications",12,33,0.92982,"A"
6342,"COLING","International Conference on Computational Linguistics",30,34,0.92857,"A"
5552,"ICSE","ACM/IEEE International Conference on Software Engineering",7,35,0.92754,"A"
5400,"SIGMOD","ACM SIGMOD International Conference on Management of Data Conference",2,36,0.92683,"A"
5465,"ICCAD","International Conference on Computer-Aided Design",6,37,0.92593,"A"
6015,"CCGrid","IEEE/ACM International Symposium on Cluster Computing and the Grid",26,38,0.92473,"A"
5681,"CADE","International Conference on Automated Deduction",29,39,0.92308,"A"
6026,"GRID","IEEE/ACM International Conference on Grid Computing",26,40,0.91954,"A"
5695,"HLT","Human Language Technology Conference",30,41,0.91667,"A"
5785,"POPL","ACM-SIGACT Symposium on Principles of Programming Languages",12,42,0.91667,"A"
6360,"AAAI","AAAI Conference on Artificial Intelligence",10,43,0.91503,"A"
5511,"ISCAS","IEEE International Symposium on Circuits and Systems",6,44,0.91228,"A"
5911,"ICC","IEEE International Conference on Communications",15,45,0.90991,"A"
6040,"Middleware","ACM/IFIP/USENIX International Middleware Conference",26,46,0.90909,"A"
5794,"RTA","International Conference on Rewriting Techniques and Applications ",29,47,0.90909,"A"
5954,"NDSS","Usenix Networked and Distributed System Security Symposium",25,48,0.90909,"A"
5460,"EUROGRAPHICS","Eurographics Annual Conference of the European Association for Computer Graphics",5,49,0.90909,"A"
6023,"Euro-Par","European Conference on Parallel Computing",26,50,0.90625,"A"
5997,"ICS","ACM International Conference on Supercomputing",26,51,0.90476,"A"
5655,"ACL","International Conference of the Association of Computational Linguistics ",30,52,0.90476,"A"
6051,"SIGMETRICS","ACM Conference on Measurement and Modelling of Computing Systems",16,53,0.90196,"A"
6049,"SOSP","ACM-SIGOPS Symposium on Operating Systems Principles",26,54,0.90123,"A"
5858,"SC","ACM/IEEE Conference on High Performance Networking and Computing",26,55,0.90000,"A"
5351,"STACS","International Symposium on Theoretical Aspects of Computer Science",1,56,0.89899,"A"
5403,"VLDB","International Conference on Very Large Data Bases",2,57,0.89855,"A"
6215,"SCA","ACM SIGGRAPH / Eurographics Symposium on Computer Animation",5,58,0.89855,"A"
5876,"DSN","International Conference on Dependable Systems and Networks",27,59,0.89855,"A"
5388,"ICDE","IEEE International Conference on Data Engineering",2,60,0.89796,"A"
5968,"SECURITY","Usenix Security Symposium",25,61,0.89744,"A"
5482,"Vis","IEEE Visualization Conference",5,62,0.89286,"A"
