"1173-8804","QUÍMICA                                           ","BioDrugs (Auckland)","B1",2008
"1567-5394","QUÍMICA                                           ","Bioelectrochemistry (Amsterdam)","A2",2008
"1983-4209","QUÍMICA                                           ","Biofar: Revista de Biologia e Farmácia","C ",2008
"0892-7014","QUÍMICA                                           ","Biofouling (New York. Print)","A2",2008
"0168-2563","QUÍMICA                                           ","Biogeochemistry (Dordrecht)","A2",2008
"0006-3088","QUÍMICA                                           ","Biologia (Bratislava)","B5",2008
"0006-3134","QUÍMICA                                           ","Biologia Plantarum (Praha)","B3",2008
"0918-6158","QUÍMICA                                           ","Biological & Pharmaceutical Bulletin","B2",2008
"1099-8004","QUÍMICA                                           ","Biological Research for Nursing","B3",2008
"0929-1016","QUÍMICA                                           ","Biological Rhythm Research","B4",2008
"0163-4984","QUÍMICA                                           ","Biological Trace Element Research","B4",2008
"1045-1056","QUÍMICA                                           ","Biologicals (London. Print)","B3",2008
"0178-2762","QUÍMICA                                           ","Biology and Fertility of Soils (Print)","B3",2008
"1525-7797","QUÍMICA                                           ","Biomacromolecules","A1",2008
"0961-9534","QUÍMICA                                           ","Biomass & Bioenergy","B1",2008
"0142-9612","QUÍMICA                                           ","Biomaterials (Guildford)","A1",2008
"1748-6041","QUÍMICA                                           ","Biomedical Materials (Bristol. Print)","B3",2008
"0753-3322","QUÍMICA                                           ","Biomedicine & Pharmacotherapy","B1",2008
"0966-0844","QUÍMICA                                           ","BioMetals (Oxford)","B1",2008
"0968-0896","QUÍMICA                                           ","Bioorganic & Medicinal Chemistry (Print)","A2",2008
"0960-894X","QUÍMICA                                           ","Bioorganic & Medicinal Chemistry Letters (Print)","B1",2008
"0045-2068","QUÍMICA                                           ","Bioorganic Chemistry (Print)","B1",2008
"0973-483X","QUÍMICA                                           ","Biopesticides International (Jalandhar)","C ",2008
"0301-4622","QUÍMICA                                           ","Biophysical Chemistry (Print)","B1",2008
"0006-3495","QUÍMICA                                           ","Biophysical Journal (Print)","A1",2008
"0006-3525","QUÍMICA                                           ","Biopolymers (New York. Print)","B1",2008
"1615-7591","QUÍMICA                                           ","Bioprocess and Biosystems Engineering (Print)","B3",2008
