"0003-4800","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Human Genetics (Print)","B1",2008
"1590-4261","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Microbiology","B5",2008
"0364-5134","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Neurology","A1",2008
"0250-6807","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Nutrition & Metabolism","B1",2008
"0923-7534","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Oncology","A1",2008
"0148-7043","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Plastic Surgery (Print)","B2",2008
"0013-8746","CIÊNCIAS BIOLÓGICAS I                             ","Annals of the Entomological Society of America","B1",2008
"0026-6493","CIÊNCIAS BIOLÓGICAS I                             ","Annals of the Missouri Botanical Garden","B1",2008
"0077-8923","CIÊNCIAS BIOLÓGICAS I                             ","Annals of the New York Academy of Sciences","B1",2008
"0003-4983","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Tropical Medicine and Parasitology","B2",2008
"0272-4936","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Tropical Paediatrics","B2",2008
"0084-7747","CIÊNCIAS BIOLÓGICAS I                             ","Annual Report of the Bean Improvement Cooperative","B5",2008
"0084-6570","CIÊNCIAS BIOLÓGICAS I                             ","Annual Review of Anthropology (Print)","B2",2008
"1543-5008","CIÊNCIAS BIOLÓGICAS I                             ","Annual Review of Plant Biology (Print)","A1",2008
"0954-1020","CIÊNCIAS BIOLÓGICAS I                             ","Antarctic Science (Print)","A2",2008
"1872-8847","CIÊNCIAS BIOLÓGICAS I                             ","Anthropod-Plant Interactions (Online)","B5",2008
"0003-5548","CIÊNCIAS BIOLÓGICAS I                             ","Anthropologischer Anzeiger","B5",2008
"1871-5206","CIÊNCIAS BIOLÓGICAS I                             ","Anti-Cancer Agents in Medicinal Chemistry","B5",2008
"0959-4973","CIÊNCIAS BIOLÓGICAS I                             ","Anti-Cancer Drugs","B1",2008
"0003-5599","CIÊNCIAS BIOLÓGICAS I                             ","Anti-Corrosion Methods and Materials","B4",2008
"1871-5214","CIÊNCIAS BIOLÓGICAS I                             ","Anti-infective Agents in Medicinal Chemistry","B5",2008
"0250-7005","CIÊNCIAS BIOLÓGICAS I                             ","Anticancer Research","B2",2008
"0066-4804","CIÊNCIAS BIOLÓGICAS I                             ","Antimicrobial Agents and Chemotherapy (Print)","A1",2008
"0166-3542","CIÊNCIAS BIOLÓGICAS I                             ","Antiviral Research","A2",2008
"1359-6535","CIÊNCIAS BIOLÓGICAS I                             ","Antiviral Therapy (London)","A1",2008
"0003-6072","CIÊNCIAS BIOLÓGICAS I                             ","Antonie van Leeuwenhoek (Gedrukt)","B1",2008
,"CIÊNCIAS BIOLÓGICAS I                             ","Antropologia Física Latinoamericana","B5",2008
"0101-9759","CIÊNCIAS BIOLÓGICAS I                             ","Anuário do Instituto de Geociências (UFRJ. Impresso)","B5",2008
"0044-8435","CIÊNCIAS BIOLÓGICAS I                             ","Apidologie (Celle)","A2",2008
"0903-4641","CIÊNCIAS BIOLÓGICAS I                             ","APMIS. Acta Pathologica, Microbiologica et Immunologica Scandinavica","B2",2008
