"0951-5224","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Higher Education Quarterly (Print)","B1",2008,
"1679-9321","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Hiléia (UEA)","B5",2008,
"0103-409X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Historia & Perspectivas (UFU)","C ",2008,
"0101-9074","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","História (UNESP. Impresso) (Cessou em 2004)","B5",2008,
"1130-2402","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Historia Contemporánea","B5",2008,
"1414-6312","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","História Revista (UFG. Impresso)","B5",2008,
"1519-3861","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","História Unisinos","B5",2008,
"1517-2856","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","História: Debates e Tendências (Passo Fundo)","B5",2008,
"1465-4466","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Historical Materialism","B2",2008,
"1668-5024","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Hologramática (Lomas de Zamora)","B3",2008,
"0174-4704","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Human Rights Law Journal","A2",2008,
